date,plant_num,leaf_num,area
2/28/2023,3,6,41.71
2/28/2023,3,6,37.51
2/28/2023,3,6,41.28
2/28/2023,2,1,58.1
2/28/2023,2,1,59.65
2/28/2023,2,1,57.42
2/28/2023,2,2,122.94
2/28/2023,2,2,124.04
2/28/2023,2,2,119.86
2/28/2023,2,3,197.1
2/28/2023,2,3,207.97
2/28/2023,2,3,198
2/28/2023,2,4,171.76
2/28/2023,2,4,178.08
2/28/2023,2,4,169.08
2/28/2023,2,5,83.15
2/28/2023,2,5,85.27
2/28/2023,2,5,90.13
2/28/2023,2,6,21.96
2/28/2023,2,6,21.18
2/28/2023,2,6,20.5
2/28/2023,1,1,53.37
2/28/2023,1,1,55.78
2/28/2023,1,1,55.39
2/28/2023,1,2,123.68
2/28/2023,1,2,127.32
2/28/2023,1,2,118.76
2/28/2023,1,3,145.14
2/28/2023,1,3,151.33
2/28/2023,1,3,142.13
2/28/2023,1,4,82.18
2/28/2023,1,4,85.15
2/28/2023,1,4,83.99
2/28/2023,1,5,17.17
2/28/2023,1,5,16.86
2/28/2023,1,5,15.26
